% Model:              6inch_1inch_ALUMINA_only_WGM_testing_LN_with_fieldnormplot.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 20 2025, 17:48
% Table:              Table 1 - 
% Eigenfrequency (GHz)                            Frequency (GHz)                                   Quality factor (1)
5.292100981906912+0.014628128299106659i           5.292100981906912                                 180.88783724402052
5.298806215267112+0.0026438702492613173i          5.298806215267112                                 1002.0927117636668
5.299803708055171+0.12508961880880828i            5.299803708055171                                 21.18402693414388
5.300142613375036+0.0027014103593124713i          5.300142613375036                                 980.9954631853789
5.302816491735042+0.126307188312692i              5.302816491735042                                 20.991744660672605
5.307106643891081+0.03427682764026168i            5.307106643891081                                 77.4153708095398
5.3095852424395815+0.03488489684411755i           5.3095852424395815                                76.10148979607642
5.3137958670891985+0.01407082602994185i           5.3137958670891985                                188.82316701882922
5.316815317828075+0.017558324124684693i           5.316815317828075                                 151.40440739311026
5.317067457621264+0.014181435867954902i           5.317067457621264                                 187.46576535440892
5.319554592287419+0.017849464347752i              5.319554592287419                                 149.0116030556787
5.326393501964587+0.0295901101894439i             5.326393501964587                                 90.00293455927627
5.328599240283421+0.02956747522986406i            5.328599240283421                                 90.10913510297577
5.3313146013645945+0.029223267524409294i          5.3313146013645945                                91.2169489074333
5.341367993764478+0.002664662549328824i           5.341367993764478                                 1002.2597411274202
5.342040437399651+0.0026640724473219546i          5.342040437399651                                 1002.607951365908
5.3528655498029085+0.0026043013736981794i         5.3528655498029085                                1027.6970253641753
5.353727348185354+0.002611609363474183i           5.353727348185354                                 1024.986244700734
5.357176791402562+0.00266234995134316i            5.357176791402562                                 1006.0992899712259
5.359338105366067+0.0026763907517048354i          5.359338105366067                                 1001.2248962436109
5.368713736447266+0.02400203645328524i            5.368713736447266                                 111.83871307954021
5.370147555105198+0.02396748834945639i            5.370147555105198                                 112.02983551730814
5.375724397772576+0.003414482273499782i           5.375724397772576                                 787.1946560528717
5.376369961009447+0.0035993376763879706i          5.376369961009447                                 746.8554556966124
5.381691285419568+0.009534904371583311i           5.381691285419568                                 282.2100293663415
5.383321819402806+0.009470843035895569i           5.383321819402806                                 284.20499627115584
5.383899164031933+0.02587455276766817i            5.383899164031933                                 104.03849705876739
5.391852051335908+0.06456486142755394i            5.391852051335908                                 41.75531343303451
5.391891525256359+0.002790267604184418i           5.391891525256359                                 966.1961306453942
5.394843935000103+0.06431101083578204i            5.394843935000103                                 41.94339246801624
5.3955082124838745+0.018675312132962862i          5.3955082124838745                                144.45563678051016
5.397244421126199+0.01845805103834306i            5.397244421126199                                 146.20298778875568
5.398828897442172+0.29473976911327077i            5.398828897442172                                 9.158636640187094
5.399655607962878+0.002775005337806675i           5.399655607962878                                 972.9090489300985
5.400292274234524+0.002693042616828243i           5.400292274234524                                 1002.6377303666236
5.4005670603441205+0.2950444091247859i            5.4005670603441205                                9.152125736536169
5.401479605248068+0.26319828630656156i            5.401479605248068                                 10.261236273697973
5.401557112003614+0.2601158488549687i             5.401557112003614                                 10.382983458680615
5.4018167563732+0.0026978543296568044i            5.4018167563732                                   1001.1320287000757
5.402142629265362+0.2604416813856732i             5.402142629265362                                 10.371117634710778
5.402333177498637+0.2628335926547272i             5.402333177498637                                 10.277097997506432
5.402568787398429+0.0027266993614470563i          5.402568787398429                                 990.6792189461054
5.402929099535029+0.30035699733085186i            5.402929099535029                                 8.99417883976172
5.403187461240132+0.0026937288583695532i          5.403187461240132                                 1002.9196970682764
5.403615562458933+0.30160372958255377i            5.403615562458933                                 8.958137835261544
5.4062629958712085+0.16168130391802726i           5.4062629958712085                                16.718887295132756
5.40862376573409+0.1199369981347959i              5.40862376573409                                  22.54777028709438
5.409354572447604+0.1634136590096927i             5.409354572447604                                 16.551109023654973
5.41043959311162+0.12201868499120108i             5.41043959311162                                  22.17053721527065
5.4106753914779055+0.0249204433549992i            5.4106753914779055                                108.55897133131239
5.411336318073504+0.02485526119714064i            5.411336318073504                                 108.85695940093412
5.417218507172715+0.04490762372057596i            5.417218507172715                                 60.31513202390434
5.418963329947022+0.005957970874261233i           5.418963329947022                                 454.765845982669
5.419327013496375+0.044459104486871716i           5.419327013496375                                 60.947325368380305
5.4211883585622855+0.006091410654917911i          5.4211883585622855                                444.98628196947124
5.432680736539901+0.0027740136635975104i          5.432680736539901                                 979.2094407881301
5.433424060323967+0.0027500784901292293i          5.433424060323967                                 987.8670881260272
5.440626017385704+0.004008528741038262i           5.440626017385704                                 678.6312845516121
5.442845696760479+0.00402852755585536i            5.442845696760479                                 675.5378511497885
