% Model,6inch_1inch_ALUMINA_only_WGM_Qtesting_1to5GHz_P_OF_1_PLOTGROUP.mph
% Version,COMSOL 6.1.0.282
% Date,"May 22 2025, 11:58"
% Table,Table 6 - 
% Arc length (m),Electric field norm
0.02451334997351633,318.0617221260116
0.02469225653478715,313.70986254773794
0.024962433499910508,307.0298008122543
0.0254,295.96331466454143
0,82.04628397809688
3.4674882840211516E-4,86.35648150449693
3.5869766057380903E-4,86.50003689526686
6.58789248533383E-4,89.99331665718361
0.0013821733026783082,97.49630662161547
0.0015065107667896482,98.65141796804852
0.0025517851732630003,106.75608075427114
0.002645815986779744,107.3428147114052
0.002952139351820267,109.0899701606722
0.0030130215335792965,109.40724231100238
0.0033024638556163888,110.77950231459126
0.003302471594740541,112.34908444377264
0.0033025969121067943,112.34939565559252
0.003359396840699122,112.48967102753375
0.0036682415452802004,113.22485262927846
0.0038260042077461216,113.5822068719707
0.004595933498874077,115.1462942340281
0.004752088750935383,115.42680897037444
0.005194888167514959,104.77921399656906
0.00582293255210413,103.03565903508623
0.006385772027551067,101.05030053026238
0.006773128716621089,96.61750136205718
0.007304591575109576,91.50077053150231
0.0073797674796735446,90.76958324220645
0.007942702020450172,85.24260144049887
0.00888175832368282,75.87392113393894
0.009056357157124686,74.12233937865405
0.009379321896051486,70.88515530706312
0.009502211504749499,70.6208873136627
0.009946468688734533,65.70666702782471
0.011743083332222905,48.502345921173955
0.0118109522088639,48.001606965479326
0.012264445936843445,43.99289130125297
0.012417605310561517,42.97698283144912
0.012759203844596426,41.38968589674722
0.013589902496337548,59.75432842815172
0.014105559716453268,52.91289891069267
0.014153884318349325,53.56727953464955
0.014979509520301285,65.01251837413851
0.015045417372405055,65.930299327231
0.015056813937137396,66.0888650142566
0.015679979503720957,74.6529422679725
0.016080798206248043,79.99599199911609
0.01676556437056637,88.71237309737182
0.016772783252534285,88.80117041196824
0.01725439929098864,94.56802668078342
0.01728321386646177,94.90297524104281
0.018336510889307572,106.32436047518516
0.018488752567931175,106.65571256029774
0.01854636144964056,107.19754058195532
0.018945941592533103,110.71285863112799
0.020166513145029197,118.78470782296344
0.020605419234597834,120.69409312214847
0.020663028116307235,110.67201102062185
0.02091163162188664,111.51150868987935
0.021063867144437365,110.82449836671452
0.021304334013542012,109.66848194596324
0.022300772260515758,102.06003816708427
0.022328057349341634,101.85586411948942
0.022494236682151596,100.59727444225287
0.023366327261182658,93.58067577313521
0.023850386130257875,89.4060343684279
0.023987887167332404,88.18693277763145
0.02404137758713301,87.70892884016669
0.02451334997351633,83.40671941340894
0.02469225653478715,81.73997349889673
0.024962433499910508,79.19150380836216
0.0254,75.002530660025
0,44.1752232286142
3.4674882840211516E-4,44.23665134545655
3.5869766057380903E-4,44.23651594935233
6.58789248533383E-4,44.18172681817008
0.0013821733026783082,43.620589546149915
0.0015065107667896482,43.45996734659786
0.0025517851732630003,41.321643891140454
0.002645815986779744,41.05837844646921
0.002952139351820267,40.11779758111489
0.0030130215335792965,39.91566840475897
0.0033024638556163888,38.88551832735667
0.003302471594740541,38.59040251469223
0.0033025969121067943,38.58980953750219
0.003359396840699122,38.31961029038262
0.0036682415452802004,36.80215545235396
0.0038260042077461216,35.99758182142724
0.004595933498874077,31.858159859016247
0.004752088750935383,30.994925383572504
0.005194888167514959,25.124270850192215
0.00582293255210413,19.60695617036904
0.006385772027551067,15.406685602905402
0.006773128716621089,12.815889995783422
0.007304591575109576,12.43719469228323
0.0073797674796735446,12.615575116790362
0.007942702020450172,15.27773633457041
0.00888175832368282,22.18529197735481
0.009056357157124686,23.56662804638062
0.009379321896051486,26.12313265249546
0.009502211504749499,31.009396117520406
0.009946468688734533,32.65825384141731
0.011743083332222905,37.939932263149316
0.0118109522088639,38.083149842729526
0.012264445936843445,38.91730277630605
0.012417605310561517,39.156301481084036
0.012759203844596426,39.601653641721384
0.013589902496337548,37.6872521655358
0.014105559716453268,36.15257108197629
0.014153884318349325,35.92390031320004
0.014979509520301285,31.671482440083423
0.015045417372405055,31.30573016737516
0.015056813937137396,31.242124790793373
0.015679979503720957,27.619345177259262
0.016080798206248043,25.174476312198436
0.01676556437056637,20.967218519011062
0.016772783252534285,20.92389465345149
0.01725439929098864,18.181812490643928
0.01728321386646177,18.030882675585474
0.018336510889307572,14.82967962240235
0.018488752567931175,13.777497642169171
0.01854636144964056,13.85834500217045
0.018945941592533103,15.027173828410124
0.020166513145029197,22.699164202625052
0.020605419234597834,26.1334095756478
0.020663028116307235,26.996197866482838
0.02091163162188664,29.216383477172336
0.021063867144437365,30.24399918581689
0.021304334013542012,31.844625013624842
0.022300772260515758,39.31786397099667
0.022328057349341634,39.43391720693392
0.022494236682151596,40.11541822016456
0.023366327261182658,42.97255533869608
0.023850386130257875,44.041699836688615
0.023987887167332404,44.28012642269289
0.02404137758713301,44.36525162651792
0.02451334997351633,44.93661083095138
0.02469225653478715,45.071971851973785
0.024962433499910508,45.196896177765865
0.0254,45.21200904039537
0,57.353463222955206
3.4674882840211516E-4,56.59615714383703
3.5869766057380903E-4,56.56847139948227
6.58789248533383E-4,55.83770917136198
0.0013821733026783082,53.793401664465215
0.0015065107667896482,53.40226568297266
0.0025517851732630003,49.70027307662524
0.002645815986779744,49.33613462804255
0.002952139351820267,48.124024658266556
0.0030130215335792965,47.87916705472204
0.0033024638556163888,46.70286514473095
0.003302471594740541,44.21095372841448
0.0033025969121067943,44.210443446365545
0.003359396840699122,43.979821615285324
0.0036682415452802004,42.75415121843522
0.0038260042077461216,42.15184221638391
