% Model,6inch_1inch_ALUMINA_only_WGM_Qtesting_1to10GHz_CoorstekDataSheetmph.mph
% Version,COMSOL 6.1.0.282
% Date,"May 27 2025, 16:26"
% Table,Table 1 - 
% search_freq (Hz),Eigenfrequency (GHz),Frequency (GHz),Quality factor (1)
500000000,1.3129141404580066E-14+0.24455863084071452i,1.3129141404580066E-14,2.6842523118988418E-14
500000000,1.7454927878921475E-15+0.2568582537225257i,1.7454927878921475E-15,3.3977743806078694E-15
500000000,1.9731657602259057E-15+0.7279248978874475i,1.9731657602259057E-15,1.3553360834011467E-15
500000000,-6.374843225345235E-15+0.7288118569933596i,-6.374843225345235E-15,-4.373449172221218E-15
500000000,1.6862742888782293E-10-9.519050027487039E-7i,1.6862742888782293E-10,8.857366459935464E-5
500000000,3.5241552511236006E-10+9.644976255901346E-7i,3.5241552511236006E-10,1.8269382721224022E-4
500000000,6.879067521533178E-10+8.613965523113919E-7i,6.879067521533178E-10,3.992973679238978E-4
500000000,7.844652123407789E-10-9.367725340479449E-7i,7.844652123407789E-10,4.1870634750091273E-4
500000000,1.165978102227301E-9-9.281094279338037E-7i,1.165978102227301E-9,6.28146890406582E-4
500000000,1.2083050121868424E-9-9.581562097130352E-7i,1.2083050121868424E-9,6.305365450528813E-4
500000000,1.8668979584602995E-9+1.0943636239415785E-6i,1.8668979584602995E-9,8.529605323211848E-4
500000000,3.289061809493559E-9-9.078005131638818E-7i,3.289061809493559E-9,0.001811555381275598
500000000,1.5735252978419006E-8-8.509733127022552E-7i,1.5735252978419006E-8,0.009245444447871051
500000000,1.720738573451017E-8+9.084571670261708E-7i,1.720738573451017E-8,0.009470664308169006
500000000,1.7434968320673912E-8+9.340093626335604E-7i,1.7434968320673912E-8,0.009333401258159641
500000000,1.912879998619579E-8-8.777448645676056E-7i,1.912879998619579E-8,0.010896560468980365
500000000,2.0284812462969084E-8+8.218806327109781E-7i,2.0284812462969084E-8,0.012340485744298118
500000000,2.5167109318177767E-8-7.819847108532614E-7i,2.5167109318177767E-8,0.016091816738153814
500000000,2.6397204075745773E-8+7.482333915326063E-7i,2.6397204075745773E-8,0.017639685941893336
500000000,3.619562505693753E-8-6.110086334927402E-7i,3.619562505693753E-8,0.02961956924407975
500000000,4.188630424612164E-8+6.734601649426462E-7i,4.188630424612164E-8,0.031097833566510056
500000000,5.017936519462093E-8+7.820431275496997E-7i,5.017936519462093E-8,0.03208222374630609
500000000,5.275606073741543E-8+6.069652984460802E-7i,5.275606073741543E-8,0.04345887719815173
500000000,5.3333202084125675E-8-7.447710715533914E-7i,5.3333202084125675E-8,0.03580509778185061
500000000,5.370396524284148E-8-6.898149967356811E-7i,5.370396524284148E-8,0.038926353802814916
500000000,6.424468541531492E-8+5.097219721723403E-7i,6.424468541531492E-8,0.0630193408590138
500000000,1.2627430724254075E-7-4.813170423634784E-7i,1.2627430724254075E-7,0.13117581150095825
500000000,1.4241959264161666E-7+4.3542457177190004E-7i,1.4241959264161666E-7,0.16354106069629906
500000000,1.500142357080669E-7-3.183937031023999E-7i,1.500142357080669E-7,0.23557977787616646
500000000,1.5797721372509204E-7-6.16185314488173E-7i,1.5797721372509204E-7,0.12818969392050011
500000000,2.080311587362777E-7+3.508735330836961E-7i,2.080311587362777E-7,0.2964474933574638
500000000,2.1770699019209923E-7+2.555421014320049E-7i,2.1770699019209923E-7,0.42597088497768953
500000000,2.6454677066793604E-7-4.935308437603394E-7i,2.6454677066793604E-7,0.2680144250481749
500000000,3.046738165629123E-7+8.481336058381513E-8i,3.046738165629123E-7,1.796142815622925
500000000,3.1230212312737886E-7-1.9011503440345725E-7i,3.1230212312737886E-7,0.8213504105746295
500000000,3.598768299088522E-7-2.920252280998984E-7i,3.598768299088522E-7,0.6161742124994465
500000000,3.7118495841403416E-7+1.7907916288285703E-7i,3.7118495841403416E-7,1.0363711568632954
500000000,4.507672652026773E-7+1.6975677892113098E-7i,4.507672652026773E-7,1.3276856101637737
500000000,4.680379330193025E-7-9.189495081208588E-8i,4.680379330193025E-7,2.5465922168911312
500000000,4.934487326346548E-7+1.5824399481727295E-7i,4.934487326346548E-7,1.5591388892970262
500000000,5.075543093831888E-7-2.547962274568376E-7i,5.075543093831888E-7,0.9960004401343979
500000000,5.522205288529543E-7+5.975796619608324E-8i,5.522205288529543E-7,4.620476264544867
500000000,6.010280951766807E-7-6.767983273960742E-8i,6.010280951766807E-7,4.440230352585878
500000000,6.385648994423544E-7+5.3089428963928765E-8i,6.385648994423544E-7,6.014049424756696
500000000,6.650994146814256E-7-3.212649540034205E-8i,6.650994146814256E-7,10.351260017523483
500000000,6.936532582731379E-7+2.524185164145827E-8i,6.936532582731379E-7,13.740142128358226
500000000,7.203376016043163E-7-2.727060014238414E-8i,7.203376016043163E-7,13.207219456911824
500000000,7.822073903265566E-7+2.734752841322837E-8i,7.822073903265566E-7,14.30124467752984
500000000,7.859315505161601E-7-3.0237877966244285E-8i,7.859315505161601E-7,12.995811931537093
500000000,8.132972693449344E-7+1.1349174491178353E-8i,8.132972693449344E-7,35.83067957837399
500000000,8.143526000522094E-7+3.787260286724448E-10i,8.143526000522094E-7,1075.1209824510536
500000000,8.481328569649463E-7-2.7628201790400144E-11i,8.481328569649463E-7,15349.041957186722
500000000,8.705962096418918E-7-2.238464900027828E-9i,8.705962096418918E-7,194.46277885149522
500000000,8.867169747377384E-7-3.6172716983599403E-9i,8.867169747377384E-7,122.56709596071715
500000000,8.993688054476449E-7+3.7233478871055266E-9i,8.993688054476449E-7,120.77421083351956
500000000,9.080902942617287E-7+3.740686855457432E-9i,9.080902942617287E-7,121.38015414694242
500000000,9.276480006062059E-7+2.3082213219235984E-9i,9.276480006062059E-7,200.94433575224352
500000000,9.358862850312725E-7-2.4720838023244635E-9i,9.358862850312725E-7,189.29097066840384
500000000,9.823898492934334E-7-8.141298988572876E-9i,9.823898492934334E-7,60.333728725128225
500000000,9.83587285197921E-7-3.449913577816931E-10i,9.83587285197921E-7,1425.5245283859033
500000000,1.0139272259137765E-6+7.325046942402681E-10i,1.0139272259137765E-6,692.0960601934377
500000000,1.1844820586738412E-6+3.0040146126136003E-9i,1.1844820586738412E-6,197.14984968786473
500000000,7.615820119274189E-6-1.810032256601895E-5i,7.615820119274189E-6,0.210378022035141
500000000,0.4106399667996176+0.7453755708151002i,0.4106399667996176,0.2754584285278931
500000000,0.4106417890090044+0.745376807919976i,0.4106417890090044,0.27545919368951655
500000000,0.6652441473128414+0.7138074259429148i,0.6652441473128414,0.4659829270016889
500000000,0.6652848588802818+0.7137888127842036i,0.6652848588802818,0.4660235961707445
500000000,0.8635277398293157+0.08655768424154191i,0.8635277398293157,4.988163369872597
500000000,1.029954478170464+0.8960502209116695i,1.029954478170464,0.5747191698265282
500000000,1.0299979021181904+0.8960432693177967i,1.0299979021181904,0.5747478594992294
500000000,1.0732634675660284+0.5030527778820261i,1.0732634675660284,1.066750363733928
500000000,1.1196767964956673+0.8779562316735942i,1.1196767964956673,0.6376609425969311
500000000,1.119703964285706+0.8779185792323926i,1.119703964285706,0.6377037636364402
500000000,1.151448181472061+0.46218419536756744i,1.151448181472061,1.245659407020975
500000000,1.1514863610597994+0.4621590193478666i,1.1514863610597994,1.2457685697496657
500000000,1.1519903290948115+0.09189224990000765i,1.1519903290948115,6.268158252455171
500000000,1.1519965304891884+0.09189245550643216i,1.1519965304891884,6.268177970326152
500000000,1.2671846743855253+0.5379724036125487i,1.2671846743855253,1.1777413356858355
500000000,1.3343090461429254+0.06889554743245314i,1.3343090461429254,9.68356516399782
500000000,1.3343203379126267+0.06888293855638937i,1.3343203379126267,9.685419683571698
500000000,1.3885946802394555+0.3739200214675344i,1.3885946802394555,1.8568070717229836
500000000,1.3886123840081674+0.37393269483129615i,1.3886123840081674,1.856767813034716
500000000,1.5020315103535482+0.04992888135352017i,1.5020315103535482,15.04171002468944
500000000,1.5675828782865324+0.27655792583775224i,1.5675828782865324,2.8340950156065743
500000000,1.5676123942292994+0.2765921056132695i,1.5676123942292994,2.833798149722197
