% Model,EigenRadiusSweep_Al&_DoubleZotefoamContactModel_2.5to5.5GHz.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 8 2025, 10:29"
% Table,Table 1 - 
% r_zotefoam (m),search_freq (Hz),Eigenfrequency (GHz),Frequency (GHz),Quality factor (1)
0.01905625,2.5E9,2.4609333096034223+0.17884608564814736i,2.4609333096034223,6.880031231001993
0.01905625,2.5E9,2.4615971994258543+0.17705675386450065i,2.4615971994258543,6.951435473931947
0.01905625,2.5E9,2.4618568912159304+0.1789139186822268i,2.4618568912159304,6.880003829071823
0.01905625,2.5E9,2.464153230949132+0.12865289618888753i,2.464153230949132,9.576749937021527
0.01905625,2.5E9,2.464252201091656+0.12972344007762934i,2.464252201091656,9.498099185532675
0.01905625,2.5E9,2.464727633318344+0.13004723325918693i,2.464727633318344,9.476278624113782
0.01905625,2.5E9,2.464747516736928+0.12900745875116273i,2.464747516736928,9.552732611728597
0.01905625,2.5E9,2.4650378153477845+0.14530749927596837i,2.4650378153477845,8.48214244836111
0.01905625,2.5E9,2.465146748017228+0.1456482878495972i,2.465146748017228,8.462669848075542
0.01905625,2.5E9,2.465189423398466+0.17104492857810671i,2.465189423398466,7.20626283366464
0.01905625,2.5E9,2.4656293492702273+0.14593339014145512i,2.4656293492702273,8.44779027911385
0.01905625,2.5E9,2.465654639711761+0.145538559173827i,2.465654639711761,8.470795140849427
0.01905625,2.5E9,2.4664623104963628+0.17134341432732567i,2.4664623104963628,7.197423724102287
0.01905625,2.5E9,2.4670589269322925+0.1720977991141135i,2.4670589269322925,7.167607429123632
0.01905625,2.5E9,2.468442848885903+0.17218789000984655i,2.468442848885903,7.167875884723209
0.01905625,2.5E9,2.4851981511943237+0.2130672076511387i,2.4851981511943237,5.831958325711511
0.01905625,2.5E9,2.4857913989756164+0.21202469761993029i,2.4857913989756164,5.862032647327669
0.01905625,2.5E9,2.486539283787238+0.20747855165987678i,2.486539283787238,5.992280319807383
0.01905625,2.5E9,2.4871892189750957+0.20833770410771058i,2.4871892189750957,5.969128894905214
0.01905625,2.5E9,2.4896367128471057+0.21578323877450656i,2.4896367128471057,5.768837114009527
0.01905625,2.5E9,2.4906633334389428+0.21652635975241946i,2.4906633334389428,5.751409057739706
0.01905625,2.5E9,2.490863216260767+0.1997221583897313i,2.490863216260767,6.235820893243547
0.01905625,2.5E9,2.4919622017005425+0.20407875770321368i,2.4919622017005425,6.105393402395503
0.01905625,2.5E9,2.492062186055978+0.19859962813638657i,2.492062186055978,6.274085730776334
0.01905625,2.5E9,2.492551969321324+0.20267492788523628i,2.492551969321324,6.149137427429405
