index,cf,freqs,Q
5170,2500000000.0,2.526874657224109,11587.081774168071
5284,3000000000.0,2.87012021192991,10953.438373876106
5363,3000000000.0,2.9685261476148823,46706.45903737813
5366,3000000000.0,2.969768953860797,36883.670780790126
5454,3000000000.0,3.0576612814714497,37042.946477821875
5460,3000000000.0,3.0602481010089813,32569.2791745584
5514,3000000000.0,3.1870402485514937,61819.95470249617
5516,3000000000.0,3.1890445988527167,71824.36808970636
5543,3500000000.0,3.40492242323165,25549.179704742983
5571,3500000000.0,3.4461006255395707,23055.659298975905
5744,3500000000.0,3.625981346974056,16127.28773878258
5749,3500000000.0,3.638704671001118,14368.852905719425
5752,3500000000.0,3.643501100864067,17955.61906073319
5760,4000000000.0,3.8294219333968753,6522.927251925308
5763,4000000000.0,3.8379428251680334,12161.72102410426
5765,4000000000.0,3.851692071108306,9564.541763488449
