index,cf,freqs,Q
3491,2500000000.0,2.5272394841695833,11472.71744781444
3605,3000000000.0,2.8730358607112443,10360.416277233038
3686,3000000000.0,2.9704448536402865,50575.892743880024
3775,3000000000.0,3.0582495548029085,40598.558886820254
3780,3000000000.0,3.0605249844565225,41616.675706394926
3835,3000000000.0,3.186949079215212,62858.2872160324
3862,3500000000.0,3.408844640681698,26289.862352028595
3880,3500000000.0,3.442302171102699,17614.39689032074
3889,3500000000.0,3.446359883389861,9925.126518415504
4062,3500000000.0,3.619575523646329,18454.60052841826
4065,3500000000.0,3.6289105284113425,19862.654350983183
4069,3500000000.0,3.635993857009872,14797.465628573113
4074,3500000000.0,3.647686700024376,11348.817684955864
4085,4000000000.0,3.845878378383531,8621.432935264836
4238,4000000000.0,4.039707723513014,7189.554597289029
4247,4000000000.0,4.045875548281105,7941.82436224159
