% Model,EigenRadiusSweep_Al&ZotefoamContactModel_2.5to5.5GHz.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 3 2025, 11:13"
% Table,Table 1 - 
% r_zotefoam (m),search_freq (Hz),Eigenfrequency (GHz),Frequency (GHz),Quality factor (1)
0.01905625,2.5E9,2.436277900781857+0.2239662497711457i,2.436277900781857,5.43893980291965
0.01905625,2.5E9,2.4417809563847697+0.17684042296318986i,2.4417809563847697,6.9039106429106365
0.01905625,2.5E9,2.442115241237601+0.1764392633897373i,2.442115241237601,6.9205549669610775
0.01905625,2.5E9,2.442280460093359+0.17815737036829032i,2.442280460093359,6.854278481559956
0.01905625,2.5E9,2.442405956486116+0.1784559196307164i,2.442405956486116,6.84316317872854
0.01905625,2.5E9,2.443627882680564+0.07336083757403913i,2.443627882680564,16.654852667230948
0.01905625,2.5E9,2.4439450228271027+0.07355017002935159i,2.4439450228271027,16.61413577869229
0.01905625,2.5E9,2.445884710420707+0.1612754191219828i,2.445884710420707,7.582943277210552
0.01905625,2.5E9,2.4462131656415442+0.16278289429222292i,2.4462131656415442,7.513729179830701
0.01905625,2.5E9,2.446516958342238+0.16065294578777747i,2.446516958342238,7.614292244519707
0.01905625,2.5E9,2.446840703208975+0.16204464289633547i,2.446840703208975,7.549896928015968
0.01905625,2.5E9,2.4476645133677466+0.22293828251997963i,2.4476645133677466,5.489556315094488
0.01905625,2.5E9,2.4478023895545213+0.2248402680644758i,2.4478023895545213,5.443425260577841
0.01905625,2.5E9,2.448936898798115+0.1485176172965379i,2.448936898798115,8.244600685683107
0.01905625,2.5E9,2.449851169582122+0.15045626327254438i,2.449851169582122,8.141406400424597
0.01905625,2.5E9,2.449970554761024+0.14823830804119809i,2.449970554761024,8.263621553479055
0.01905625,2.5E9,2.450617448225856+0.15001217441841652i,2.450617448225856,8.168061884732609
0.01905625,2.5E9,2.4550861030428437+0.2210846258776251i,2.4550861030428437,5.552367319294704
0.01905625,2.5E9,2.455699816130063+0.21179098161680698i,2.455699816130063,5.797460773313653
0.01905625,2.5E9,2.456575445371874+0.2133658455683423i,2.456575445371874,5.756721369412002
0.01905625,2.5E9,2.457197314711815+0.21448606521802627i,2.457197314711815,5.728104789031541
0.01905625,2.5E9,2.457790622120496+0.21147917379876882i,2.457790622120496,5.810951920162089
0.01905625,2.5E9,2.458251464892756+0.21006236053091895i,2.458251464892756,5.851242123243035
0.01905625,2.5E9,2.4584111373559923+0.21455295098835755i,2.4584111373559923,5.72914780717557
0.01905625,2.5E9,2.45906882134295+0.2156777365122299i,2.45906882134295,5.700794298727977
0.01905625,2.5E9,2.4593827187056947+0.21713977536085627i,2.4593827187056947,5.663132686350395
0.01905625,2.5E9,2.460784292285145+0.17648687869976631i,2.460784292285145,6.971578596705057
0.01905625,2.5E9,2.460911210149943+0.1785195718878961i,2.460911210149943,6.892552968072618
0.01905625,2.5E9,2.461694511759963+0.17717035117025345i,2.461694511759963,6.947253012425242
0.01905625,2.5E9,2.46181433172003+0.17890053126611094i,2.46181433172003,6.880399723514881
0.01905625,2.5E9,2.4644485718868196+0.12894269302629882i,2.4644485718868196,9.556371571145085
0.01905625,2.5E9,2.464925760939794+0.13011024746793018i,2.464925760939794,9.472450513735874
0.01905625,2.5E9,2.4650039260795533+0.12874068245784093i,2.4650039260795533,9.573523609705795
0.01905625,2.5E9,2.465195271593286+0.14528492283847622i,2.465195271593286,8.484002412053528
0.01905625,2.5E9,2.465290817442334+0.1298802083596354i,2.465290817442334,9.490633132555494
0.01905625,2.5E9,2.4655826327627155+0.14571964637606571i,2.4655826327627155,8.460021328900524
0.01905625,2.5E9,2.4657152778199483+0.170812626860442i,2.4657152778199483,7.217602478048935
0.01905625,2.5E9,2.4657728782946604+0.14563546278614478i,2.4657728782946604,8.465564743373909
0.01905625,2.5E9,2.465952906150965+0.14607834507873596i,2.465952906150965,8.440514933345598
0.01905625,2.5E9,2.4662153066189805+0.17157402869874622i,2.4662153066189805,7.187029777534747
0.01905625,2.5E9,2.467762879174762+0.17175993214361973i,2.467762879174762,7.1837559795706705
0.01905625,2.5E9,2.46789788921481+0.1726628412684147i,2.46789788921481,7.146580790299621
0.01905625,2.5E9,2.4855286250931403+0.2121687529493879i,2.4855286250931403,5.857433270784352
