index,cf,freqs,Q
6853,2500000000.0,2.5298994468770855,11047.63924203278
6962,3000000000.0,2.8714074840215047,9580.564384441692
6964,3000000000.0,2.873661013215099,9187.540411725116
7044,3000000000.0,2.9690437086142323,4103.808611405849
7057,3000000000.0,2.9758168667300553,9595.05847093328
7138,3000000000.0,3.0586268352153305,24522.532638003227
7143,3000000000.0,3.064110016030905,26208.37572959549
7196,3000000000.0,3.1876541628817754,16753.08098335149
7198,3000000000.0,3.1967819146184215,14903.051733510432
7222,3500000000.0,3.408403591438967,28536.44225774638
7225,3500000000.0,3.412798841031118,10825.40343012873
7255,3500000000.0,3.448555779900107,6381.720941207596
7259,3500000000.0,3.4543963086614227,4221.783198643238
7426,3500000000.0,3.6331060606636174,5155.570794507919
7443,4000000000.0,3.8493907467561104,3880.093233083224
7815,4500000000.0,4.5233162009789565,4282.405356646893
