% Model:              6inch_1inch_ALUMINA_only_WGM_testing_LN_with_fieldnormplot.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 20 2025, 17:59
% Table:              Table 1 - 
% Eigenfrequency (GHz)                            Frequency (GHz)                                   Quality factor (1)
6.197470304634841+0.03493850578372484i            6.197470304634841                                 88.69111837521349
6.200384993593074+0.03421426527130048i            6.200384993593074                                 90.61110832612361
6.201463877258995+0.013823811308870445i           6.201463877258995                                 224.30369377508964
6.205441412740247+0.014021478549028302i           6.205441412740247                                 221.283418543984
6.207930077744661+0.003493752019077198i           6.207930077744661                                 888.4331291756014
6.208252438585913+0.02077587903692198i            6.208252438585913                                 149.41010263760393
6.21197000759522+0.0035400793085219925i           6.21197000759522                                  877.3772373744871
6.213323017440029+0.02013353780274641i            6.213323017440029                                 154.30281250899856
6.2148044191429666+0.0035169170372626114i         6.2148044191429666                                883.55857606187
6.219189772846903+0.0032461583417703306i          6.219189772846903                                 957.9307473730925
6.219828941197542+0.0032651828738464125i          6.219828941197542                                 952.447256632602
6.224570072637061+0.12681738316370872i            6.224570072637061                                 24.541470251762547
6.227025119274411+0.12582793130622794i            6.227025119274411                                 24.744208438584568
6.228079892537379+0.003242713270504841i           6.228079892537379                                 960.3192408633406
6.2310724593399485+0.018600418694187743i          6.2310724593399485                                167.49817737401347
6.23257780488949+0.003254328946399174i            6.23257780488949                                  957.5826395462675
6.2379611464211555+0.019266670854481773i          6.2379611464211555                                161.88476965054122
6.238536254694924+0.028171301570957475i           6.238536254694924                                 110.72502700987008
6.24530622912068+0.027634454958458118i            6.24530622912068                                  112.99854182955707
6.260693441869221+0.02017547855061497i            6.260693441869221                                 155.1560084724332
6.261011234642791+0.018498284532537414i           6.261011234642791                                 169.2322124148873
6.263017658419937+0.018425470697628756i           6.263017658419937                                 169.9554318367006
6.265758905945742+0.020781092194275166i           6.265758905945742                                 150.7562462879562
6.270947381445405+0.010365197198689377i           6.270947381445405                                 302.5001483926582
6.274808327025735+0.009793152728650247i           6.274808327025735                                 320.3671228708882
6.293195092385584+0.0033584732409146336i          6.293195092385584                                 936.913091299742
6.294363648889071+0.25832454402435046i            6.294363648889071                                 12.183053826073422
6.295574384634675+0.25486641763650275i            6.295574384634675                                 12.350733460721353
6.295833956674468+0.005461019752004669i           6.295833956674468                                 576.433911849829
6.296766551348301+0.25556982656192356i            6.296766551348301                                 12.31907270912245
6.297671096079268+0.2526594543359911i             6.297671096079268                                 12.462765568440815
6.298164079294209+0.003769203672561957i           6.298164079294209                                 835.4767513814526
6.300012786759357+0.03605849863785563i            6.300012786759357                                 87.35822378563142
6.30162313751716+0.004813364547867668i            6.30162313751716                                  654.5964963643564
6.304167939199347+0.004808323128843465i           6.304167939199347                                 655.547450771645
6.304268575788397+0.03669928206581878i            6.304268575788397                                 85.89089787208819
6.309063640893246+0.07822431668052711i            6.309063640893246                                 40.326741789639705
6.310806093239249+0.06670088580821462i            6.310806093239249                                 47.30676374662205
6.311463629309324+0.004592708925086217i           6.311463629309324                                 687.1177481807038
6.3131051995217735+0.056138714106081386i          6.3131051995217735                                56.227732501962386
6.3133587294345785+0.003960602118500005i          6.3133587294345785                                797.0200667147084
6.3140028767421335+0.06796285551510642i           6.3140028767421335                                46.45186572052355
6.314888261107739+0.0037592841027470937i          6.314888261107739                                 839.9056959399716
6.317089930912881+0.22510277336204232i            6.317089930912881                                 14.031568417757427
6.317769142830304+0.05698831976672939i            6.317769142830304                                 55.43038616238261
6.3205908288365285+0.07798909998088951i           6.3205908288365285                                40.52227061464569
6.32166686788161+0.005545379009788338i            6.32166686788161                                  569.9941209359197
6.322666422118127+0.22967260998698602i            6.322666422118127                                 13.764519901777556
6.323608313330671+0.0035780117428300703i          6.323608313330671                                 883.6762939644433
6.32449407975546+0.005753344455542446i            6.32449407975546                                  549.6363140279911
6.327834415071554+0.02371944296552652i            6.327834415071554                                 133.38918675848194
6.328423051416775+0.003724353007267974i           6.328423051416775                                 849.600325085596
6.329268905978426+0.0036448229658757997i          6.329268905978426                                 868.2546402439045
6.330104345831906+0.13253202761963026i            6.330104345831906                                 23.88141364591297
6.330811979419306+0.0038840711406224046i          6.330811979419306                                 814.9711668778579
6.331894489946911+0.022693889226362857i           6.331894489946911                                 139.5065963966927
6.333495273513849+0.0040916922863121746i          6.333495273513849                                 773.9456965888071
6.333644445727757+0.0036124991399269133i          6.333644445727757                                 876.6291977381478
6.335999011978424+0.13239535304426467i            6.335999011978424                                 23.928328548888206
6.341443310670529+0.004091438390695689i           6.341443310670529                                 774.9650251475814
6.342624171292591+0.022873687690451464i           6.342624171292591                                 138.64454776875124
6.343000919158554+0.004224699166902321i           6.343000919158554                                 750.7044488340973
6.345870973376444+0.023297138688111833i           6.345870973376444                                 136.1942137687201
6.355187254342873+0.009307171741442148i           6.355187254342873                                 341.4134514164523
6.355864306738506+0.05176410349431236i            6.355864306738506                                 61.39258557271124
6.356602507990431+0.014954108625258172i           6.356602507990431                                 212.53699124713586
6.358778318641635+0.01644767254076924i            6.358778318641635                                 193.30328661638842
6.361730833163641+0.01133168711546944i            6.361730833163641                                 280.70536930369934
6.362496102881951+0.00855404168545532i            6.362496102881951                                 371.89999399349927
6.3648891116256445+0.05331985403894071i           6.3648891116256445                                59.68592024818017
6.365066623955709+0.011163110926491724i           6.365066623955709                                 285.09376399953436
6.3670883224854835+0.0054802783761868255i         6.3670883224854835                                580.9092061958082
6.369732700739368+0.0038771846070867044i          6.369732700739368                                 821.4378919560334
6.372247035171909+0.005627019892256267i           6.372247035171909                                 566.2186341247168
6.372539672257865+0.021067804742003884i           6.372539672257865                                 151.23881558368134
6.374834382072851+0.0035231432321666573i          6.374834382072851                                 904.7083757296555
6.3769958689022666+0.061108293482082854i          6.3769958689022666                                52.177826490703936
6.378647793683687+0.0610824609166384i             6.378647793683687                                 52.21341525834129
6.379944918337404+0.003560710871099615i           6.379944918337404                                 895.8807874742097
6.380942714747856+0.02182057384479843i            6.380942714747856                                 146.21390711658438
6.381258751846221+0.003677887625757099i           6.381258751846221                                 867.5168195945939
6.385063558712043+0.0037652187915412105i          6.385063558712043                                 847.9007346208498
6.38704540948521+0.0037359170588495846i           6.38704540948521                                  854.8162752108846
6.3887882508725555+0.06147785766294567i           6.3887882508725555                                51.96007549497977
6.389330964941109+0.0632118506143179i             6.389330964941109                                 50.539027910487114
6.3912786764286125+0.0038659442040719i            6.3912786764286125                                826.6128970119178
6.391389864389911+0.02628652120398291i            6.391389864389911                                 121.57161867850154
6.3914053069679575+0.0159983423659838i            6.3914053069679575                                199.75211058608085
6.391602726681535+0.031694486320148034i           6.391602726681535                                 100.83146106422971
6.393625956093635+0.0035408766662057764i          6.393625956093635                                 902.8309312654935
6.3947088402635055+0.021943626817051132i          6.3947088402635055                                145.7076556573261
6.396387295049949+0.031228520680220657i           6.396387295049949                                 102.4125888086216
6.396628396743321+0.014430253496000581i           6.396628396743321                                 221.6395019850545
6.398481858181445+0.02616698879474584i            6.398481858181445                                 122.26247942342947
6.403882640962597+0.003685091477438804i           6.403882640962597                                 868.8905933772635
6.410047154017127+0.0038070521975134045i          6.410047154017127                                 841.8648893498074
6.4103488141904155+0.027972469739945216i          6.4103488141904155                                114.58317541829916
6.412261338693185+0.0038900274914585664i          6.412261338693185                                 824.1922907707916
6.412788572357831+0.00359885562098043i            6.412788572357831                                 890.9482968659363
6.418877204911221+0.003758739200097144i           6.418877204911221                                 853.8604121224115
