% Model:              6inch_1inch_ALUMINA_only_WGM_Qtesting_5to11GHz.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 22 2025, 14:19
% Dimension:          1
% Nodes:              68
% Expressions:        9
% Description:        Line graph
% Arc length (m)          Electric field norm      Electric field norm      Electric field norm      Electric field norm      Electric field norm      Electric field norm      Electric field norm      Electric field norm      Electric field norm
0                         357.9314095205373        482.17291776627206       321.3445504616671        377.9078514540492        287.02121837598304       190.98852535762384       325.27702043567245       491.3717461353606        189.47840288889154
3.4674882840211516E-4     362.6358385390189        510.84244816133327       318.83976740419246       383.303537940294         302.7801399847226        202.40973738643294       342.3474145557011        506.96828559094837       175.49256578434517
3.5869766057380903E-4     362.7464573354293        511.78278135670445       318.7800736818619        383.459567521944         303.3248437711695        202.93755842041458       342.91923195851615       507.4666763463758        175.0683676767071
6.58789248533383E-4       364.4534793369588        534.3475157324319        317.82759967948897       386.7405372130234        317.0098786964158        218.4265879783404        356.92823310558373       519.0392882224602        165.9483588935082
0.0013821733026783082     361.03033310849924       580.9330086673443        319.5732688119326        390.07201035621125       350.17531370565          266.8095179345286        388.21485793342424       538.7885616413421        159.38683858453712
0.0015065107667896482     359.5576334979257        587.9812392025722        320.42597165354255       390.10289447009285       355.97903878629654       275.96113155000984       393.3109615679164        540.9661713796494        160.8512536490155
0.0025517851732630003     342.58313956395364       641.3328317242974        334.3484453562426        387.63454424387487       408.94856518152466       356.54116317220405       435.0021755080062        545.648303823386         202.73498026280603
0.002645815986779744      341.1266076770414        646.0320325163041        336.2504979129087        387.46638251862123       414.30777231847765       364.01656158263256       438.80840447088605       544.9851555368342        208.72040579366413
0.002952139351820267      337.2554893762142        661.8754458671481        343.2976650372247        387.4563536427585        432.7754962398214        388.66091934070636       451.5044711871449        541.8173276723767        230.18536607512493
0.0030130215335792965     336.7012091050476        665.1646455906522        344.8609970655682        387.5850418509244        436.64975752999425       393.61989957296663       454.096675118711         541.0232770057128        234.78041646033228
0.0033024638556163888     335.4264543842793        681.7265374662993        353.08290382575865       389.0134961146151        456.11954830428846       417.5332711800593        466.83086745655856       536.6474028070861        257.9503645074036
0.003302471594740541      300.22627002687983       721.5758960108354        399.11734690503533       345.53006425287685       425.447565874937         390.949044352972         469.52987759348576       533.0063679598617        260.66450233578297
0.0033025969121067943     300.2176648175795        721.5720673526345        399.12116816661165       345.52758002044436       425.45164269233015       390.9511541270519        469.53362503946164       532.9987002565427        260.6706402814909
0.003359396840699122      296.4514613801351        719.9331542347065        400.88124858373436       344.5669081831305        427.32890332912956       391.905743883142         471.2542008151793        529.5754914681717        263.48927442628144
0.0036682415452802004     281.00540381001883       714.3621025301286        411.4067935085264        344.92128553734807       438.50519129055414       396.99254400605304       481.381163245061         512.9017116800361        280.0970773736404
0.0038260042077461216     276.6928802399011        713.661016009891         417.38601378748604       348.4928722104311        444.7952382872841        399.4851167271429        487.05799623479913       505.76497930586646       289.4243905283813
0.004595933498874077      293.6141718765671        729.9317900552377        452.1800212839965        391.11864739506484       480.2603986169241        409.9736109449479        519.6554720768718        487.21247029859336       343.55481421600535
0.004752088750935383      304.44310495663024       736.9673075685248        460.3710776974797        403.4199086346544        488.3168402335424        411.68648066141924       527.2553180695677        487.25680414623724       356.3793740194081
0.005194888167514959      336.5868471466545        676.2745922123618        413.5654869313871        416.728807285412         409.0886464274601        513.2169706235375        496.54459207087643       406.0355363979932        371.96414949494374
0.00582293255210413       355.03866003659385       712.6180875320781        406.8518118066258        436.75916512056955       402.9003086135052        522.3356931600935        456.13466357359584       357.52757501443193       414.46505941070285
0.006385772027551067      381.42442223665864       745.3628550851627        406.6884016748889        459.3810315924868        419.9546384819315        532.022866061985         422.8238071295169        335.176487244144         455.72503817811275
0.006773128716621089      361.67069992867414       607.0635925095264        501.3142058297661        389.6109784409186        446.77160979517515       486.53924213767596       263.7733316961141        428.6937478206357        393.5628910343826
0.007304591575109576      351.1210577044701        596.2364636804622        459.0594360910812        364.8534307281382        430.60681764478653       486.6892944100892        233.7015309377423        418.99478901792384       369.71308831483753
0.0073797674796735446     349.9159520307137        594.8505523177007        453.2566592927574        362.15446396031024       428.7432218930721        486.680718669701         230.65510379725225       418.7514246469959        366.7087995180164
0.007942702020450172      343.46475046670884       585.370214776854         411.5346222433985        347.6055812929373        417.87840951508724       486.2644858353363        219.29119420935962       424.28767862590604       346.4062310869356
0.00888175832368282       344.65651001108455       572.6490681486965        351.4342701175608        341.7473938076671        410.6056871501213        483.86656261268706       248.7143912199837        456.16812253141836       318.9435730079812
0.009056357157124686      346.7979089239917        570.7630402516925        342.0809160506214        342.6856530319974        410.5753439395853        483.17505070872346       260.2549213806674        464.6487813895154        314.65683346656095
0.009379321896051486      352.51808837706784       567.8055715746648        326.74166259338233       345.8282931764331        411.5091681869226        481.7147945245598        285.66795020412854       482.3378746317121        307.61530266946255
0.009502211504749499      352.5704117090294        463.4713115753516        270.3403209572618        354.69195431131044       387.56874637142835       454.74337512626386       298.2078553159501        490.4761410361198        359.13173815639783
0.009946468688734533      361.16896981410815       441.45760566035096       226.74886747413575       337.70002295420113       391.32016666317435       434.2910190016746        316.3222049362779        481.24394862004044       343.1109568002637
0.011743083332222905      444.22131573371314       394.0543995944943        216.54557173081645       266.2772759196451        382.49652036720045       370.39595939532114       487.74720478206194       521.4791271323205        319.731882581347
0.0118109522088639        448.4548712056607        393.48170481307096       222.35851194266448       263.5061232195198        380.96763220025144       368.6310447283678        495.283852771702         525.132599234512         319.7159391052402
