% Model:              6inch_1inch_ALUMINA_only_WGM_Qtesting_5to11GHz.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 22 2025, 14:18
% Dimension:          1
% Nodes:              68
% Expressions:        9
% Description:        Line graph
% Arc length (m)          Electric field norm      Electric field norm      Electric field norm      Electric field norm      Electric field norm      Electric field norm      Electric field norm      Electric field norm      Electric field norm
0                         348.58827558685283       59.35509641987852        381.91095966771945       293.885246345113         229.18510409342144       220.38900591957727       377.89626431222433       425.7512905650457        105.43797704596702
3.4674882840211516E-4     324.6764512103935        69.09006118527701        392.0140802926881        282.286804633622         234.17766750369617       239.97471139991475       378.1213285574315        424.0567805846894        94.25491460885762
3.5869766057380903E-4     323.84378210223116       69.55211443923467        392.3297712330348        281.8357095859481        234.3683132763076        240.64314435061843       378.0837022726396        423.95253879912593       93.93311077430693
6.58789248533383E-4       302.8008692408107        82.77177435007297        399.51501925196743       269.435801390695         239.51913449353032       257.12953029572793       376.1901467241951        420.259995349671         87.45799623087059
0.0013821733026783082     252.1322593332659        119.91208761592264       411.25773000132403       232.83907156656082       254.5736081144256        293.7120674310762        364.95580570108586       402.3446012147185        86.41777383522272
0.0015065107667896482     243.67118472412594       126.44487990672754       412.6192421970909        226.08304106864915       257.53814207700515       299.5419845786996        362.2531228081504        397.9504947480743        88.36275452346223
0.0025517851732630003     184.14753689937652       180.5098388341935        422.2997082334227        186.4963494911432        287.9667621995454        345.95495271710695       336.2670900302515        347.2896801669529        122.98995816753823
0.002645815986779744      180.63487562446542       185.32447868992222       423.5302435246012        186.65116861615988       291.296013082358         350.172443053844         334.13471889588675       341.77352270211287       127.27793594279059
0.002952139351820267      172.67873920967648       201.06216654853316       428.78934082185964       194.4424189079265        302.9896125382452        364.3991515784626        328.26312667690433       323.26909851030723       142.18645094868666
0.0030130215335792965     171.81510689342878       204.20855499247511       430.11875182017974       197.41680658316926       305.47899790801495       367.3447343358152        327.35192684105164       319.54579307171156       145.3066658267884
0.0033024638556163888     171.38908829985223       219.31232046254348       438.10291237591923       218.1588106650987        318.13259467722094       382.07866611357827       324.5930682170372        302.0620137384486        160.78417400728154
0.003302471594740541      172.45619217519612       232.51388744667366       446.9579094811614        228.84301846155873       304.1760566473987        366.0369945440596        386.44754533305314       291.48587326772827       135.16110888650036
0.0033025969121067943     172.46414860228884       232.51641188311166       446.95929844323985       228.8460304850407        304.1750580634818        366.0347797469688        386.445424390577         291.47208505748085       135.16746184330268
0.003359396840699122      176.273902530661         233.6818109832894        447.61350677547546       230.31461643905126       303.75628431336503       365.0921756072267        385.5311463770089        285.34083969867754       138.08548753168836
0.0036682415452802004     203.03386759146767       240.70792188774178       452.05471420833015       241.93892075659437       302.6715319572849        362.01194510165465       382.33536569534294       256.514835869997         155.04076855791305
0.0038260042077461216     219.7400590304954        244.70163072763197       454.9206812595509        250.24546712264203       302.9015342055109        361.6787834247813        381.98381942332236       245.09296650584116       164.21740226604146
0.004595933498874077      316.88005214889324       267.27530882672306       475.1710155645292        312.4769613833428        311.61361075472826       369.8318112533568        395.2951183587556        227.2207028323982        211.45949899402456
0.004752088750935383      338.3506476540542        272.36300633446274       480.6235758704462        329.144323170331         314.8815470720758        373.07285814743403       401.40920979900073       231.24654901967162       221.32733589016829
0.005194888167514959      426.5236565043197        271.5739842074883        495.9461844828915        364.094401326503         348.24581798688706       406.50691533119596       439.38083835878916       232.2835265972769        269.0577622680794
0.00582293255210413       446.1491710945542        287.7551615204042        471.02829740572395       451.9079970709421        353.8693820721815        404.10349219984334       457.3889860078537        255.14993039318233       288.4925308697558
0.006385772027551067      460.42632999490144       301.99347942676184       450.29285285129424       533.9839439345118        363.2665238735602        407.35537362313283       479.2113225546906        278.00315945361484       307.0390364806445
0.006773128716621089      432.3034723557247        319.57979801174525       329.9927737505617        526.8967600940848        357.52449738512803       293.72844660162866       490.53783709465597       279.06357926860267       317.1406134711162
0.007304591575109576      383.6249450778369        300.63928068197305       308.5509921396111        510.077783646904         341.3169596301041        276.2051015355756        471.1653019578375        275.0079284250596        316.24763158379204
0.0073797674796735446     376.4926990706201        298.24885415554263       305.46162738645796       507.4752894853332        338.9528662937516        273.6765641457962        468.3769970743078        274.11209222437344       316.2868040462368
0.007942702020450172      322.16334882224584       282.57522808257454       282.26983344957404       485.91261389056285       320.8397512346967        254.07537546391924       447.3349665270343        263.7862348049039        318.327638891308
0.00888175832368282       241.11603110632828       264.75469309710024       248.54355922945646       440.67976471426863       290.7407869962146        217.96141510966115       415.03083085943376       229.59107910663303       330.9767249027391
0.009056357157124686      230.960211598697         262.50927097112725       244.2059199560091        430.9010039121681        285.5544977959873        210.7650161452891        410.24158988923097       220.859195745253         334.9310244818944
0.009379321896051486      220.38583286361322       259.1695488179858        239.07559123913094       411.6845740362091        276.7152400102938        197.16755235616705       403.26333237650573       203.12105801164103       343.76577255910706
0.009502211504749499      203.20326061265814       248.45898970556294       157.5359942235833        504.42021610547613       263.397859735413         125.96345118328644       395.5146620443067        141.77452760974535       349.98839700353636
0.009946468688734533      219.81508067394296       234.2526095221667        172.70372313257465       465.79116927047124       264.58026557964087       101.16907243300308       381.1764295288056        105.39155926354697       362.3352912306202
0.011743083332222905      443.11874967867385       199.28918861229354       331.17469597147635       319.86766945922676       292.9066318967846        211.36373248132722       386.6551888370512        134.84542180317624       425.52878729013065
0.0118109522088639        452.5423187919033        198.57644597274268       337.7294065801369        314.9432487423321        294.76634801441514       218.97255541459424       388.6050958350228        139.6261711322913        428.35975361137145
