Index,Freq (Hz),Resp (dB),Comp Resp,Comp Resp w/out Background,Resp w/out Background (dB),Normalized Comp Resp,Normalized Resp (dB),fit,guess
1402,5201781250.0,-31.6504,(-0.0260845+0.0007879026j),(-1.0651251670593107+0.027462127579283152j),0.5508989999999905,(1.0156806356422607-0.14041358443324467j),0.2173621866833492,(0.2595678576995264-0.01525821949558754j),(0.9684718575349703-0.1381493986107906j)
1403,5201784375.0,-31.92553,(-0.02525708+0.001082912j),(-1.0314962971576382+0.03965996595506854j),0.2757689999999932,(0.987073988750826-0.1151573986554121j),-0.054293471511162,(0.2595525658975709-0.014486879684592604j),(0.9678383093801841-0.13945749391599854j)
1404,5201787500.0,-31.9677,(-0.02515029+0.0009264391j),(-1.0267198422373947+0.03327754364146204j),0.233598999999991,(0.9864786763480303-0.07533845231747184j),-0.0929891297056784,(0.25953888119876056-0.013715510944559492j),(0.967185823385382-0.14078900712890788j)
1405,5201790625.0,-31.79689,(-0.02569778+0.00111307j),(-1.0468689691561532+0.040709681527344437j),0.4044089999999904,(1.008201564986583-0.04924241971826501j),0.0812952120998068,(0.25952680367911596-0.012944118298416778j),(0.9665136521699628-0.14214451759783228j)
1406,5201793750.0,-31.8524,(-0.0255047+0.0009989599j),(-1.0403584641654517+0.03614448188894854j),0.3488989999999923,(1.0033160487374608-0.010812678190085856j),0.0292595539052946,(0.2595163333937164-0.012172706768654517j),(0.9658210119252189-0.14352462118648907j)
1407,5201796875.0,-31.97906,(-0.02515142+0.001204022j),(-1.024949638335067+0.04452628671889333j),0.2222389999999912,(0.9891417078073059+0.01426849426643441j),-0.0939261042892205,(0.2595074703767217-0.011401281378562217j),(0.9651070803171687-0.1449299306738163j)
1408,5201800000.0,-31.93728,(-0.02522577+0.0009455018j),(-1.0303002181827827+0.034058404681443756j),0.2640189999999904,(0.9927004566034899+0.058320506221419585j),-0.0486717624837354,(0.25950021464135686-0.010629847151221844j),(0.9643709942492149-0.14636107615089164j)
1409,5201803125.0,-31.88788,(-0.02546813+0.00143302j),(-1.0353526213107722+0.053667467599063504j),0.3134189999999925,(0.9977587793149334+0.07379408040503807j),0.0042025793217525,(0.2594945661799174-0.00985840910962327j),(0.9636118474774196-0.1478187054060225j)
1410,5201806250.0,-31.90295,(-0.02530791+0.001223578j),(-1.0339487297190573+0.045409928635759975j),0.2983489999999911,(0.992479403886171+0.11525520233317471j),-0.0073930788736724,(0.25949052496377034-0.009086972276779811j),(0.9628286880665411-0.14930348429641926j)
1411,5201809375.0,-31.93271,(-0.02530954+0.00105899j),(-1.0306843396501255+0.03856334911494753j),0.2685889999999915,(0.9840351423651423+0.15475792001382022j),-0.0336787370681861,(0.25948809094335357-0.00831554167472115j),(0.9620205156738441-0.15081609710462232j)
